algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,OutlierRemoval,2,,,,,0.35133631435838236,1.2324743967229037,270.37929041503594
KMeans,OutlierRemoval,3,,,,,0.2626464779851518,1.5390890434529256,187.0566197468891
KMeans,OutlierRemoval,4,,,,,0.18961076901216173,1.785966871152844,157.72106297810964
KMeans,OutlierRemoval,5,,,,,0.16510158022075488,1.6732919819342098,136.05227103114348
KMeans,OutlierRemoval,6,,,,,0.1631090943992647,1.7398192613670087,120.49250290966151
KMeans,OutlierRemoval,7,,,,,0.14772837791582275,1.651058085594807,111.79027325672537
KMeans,OutlierRemoval,8,,,,,0.13982508639142513,1.6963048108283274,103.52195787625355
GMM,OutlierRemoval,2,,,,,0.32437591609068556,1.3222013252540692,247.9067806641607
GMM,OutlierRemoval,3,,,,,0.12177750001966937,2.1181848967951713,148.54207194339662
GMM,OutlierRemoval,4,,,,,0.0859696313267847,2.231480021906438,125.84807577509433
GMM,OutlierRemoval,5,,,,,0.13749852673463375,1.9322369524629444,118.35765164525836
GMM,OutlierRemoval,6,,,,,0.13151285082822578,1.899448272376884,108.3242230294288
GMM,OutlierRemoval,7,,,,,0.14789555515147706,1.817397270818235,99.66656032039946
GMM,OutlierRemoval,8,,,,,0.13379512597975782,1.8000496400853923,92.25848267503453
Agglomerative,OutlierRemoval,2,,,,,0.3405246699728406,1.2566930614284737,257.2669612223158
Agglomerative,OutlierRemoval,3,,,,,0.2815377332672249,1.496145650306983,169.0263898041513
Agglomerative,OutlierRemoval,4,,,,,0.2119544891366323,1.920953457706784,135.35828132231129
Agglomerative,OutlierRemoval,5,,,,,0.10559241975214485,2.1521045954134634,113.74147340566803
Agglomerative,OutlierRemoval,6,,,,,0.10735675524552164,2.0174409011474093,101.14108135442967
Agglomerative,OutlierRemoval,7,,,,,0.11613040333781617,1.8962523815014996,92.5264894673855
Agglomerative,OutlierRemoval,8,,,,,0.11206039203741308,1.8294220898138716,86.50826744211042
Spectral,OutlierRemoval,2,,,,,0.3352863978104295,1.265537858844542,255.2617645844246
Spectral,OutlierRemoval,3,,,,,0.2554904570626884,1.5385862584811576,181.82061398959502
Spectral,OutlierRemoval,4,,,,,0.1545696550193516,1.7964941160152754,147.78433587801936
Spectral,OutlierRemoval,5,,,,,0.1325901658558902,1.705604061029359,124.33742746592372
Spectral,OutlierRemoval,6,,,,,0.11826555011870236,1.6146411962508607,108.22256208616413
Spectral,OutlierRemoval,7,,,,,0.13028657010702185,1.6960745255678604,104.33634199945485
Spectral,OutlierRemoval,8,,,,,0.1288755442617765,1.6401723833862127,98.1306370159964
OPTICS,OutliersRemoval,,,3,,20,-0.3498993400449834,1.6046234688925414,3.425710339626726
OPTICS,OutliersRemoval,,,5,,3,-0.32583744386005126,2.0785036112912305,4.242400925892126
